トークン	品詞
のか	['名詞', '助詞']
現在では	['名詞', '助詞', '助詞']
当時は	['名詞', '助詞']
ことが多い	['名詞', '助詞', '形容詞']
子の	['名詞', '助詞']
のちに	['名詞', '助詞']
となっており	['助詞', '動詞', '助詞', '動詞']
てしまう	['助詞', '動詞']
唯一の	['名詞', '助詞']
を指す	['助詞', '動詞']
その後は	['名詞', '助詞']
にして	['助詞', '動詞', '助詞']
と言う	['助詞', '動詞']
世の	['名詞', '助詞']
のもの	['助詞', '名詞']
部の	['名詞', '助詞']
を示す	['助詞', '動詞']
こともあり	['名詞', '助詞', '動詞']
月まで	['名詞', '助詞']
独自の	['名詞', '助詞']
年代に	['名詞', '助詞']
軍は	['名詞', '助詞']
を意味する	['助詞', '名詞', '動詞']
に入る	['助詞', '動詞']
従来の	['名詞', '助詞']
際に	['名詞', '助詞']
中で	['名詞', '助詞']
もあった	['助詞', '動詞', '助動詞']
世は	['名詞', '助詞']
すべての	['名詞', '助詞']
の名	['助詞', '名詞']
とされた	['助詞', '動詞', '動詞', '助動詞']
の間に	['助詞', '名詞', '助詞']
ものは	['名詞', '助詞']
町の	['名詞', '助詞']
氏の	['名詞', '助詞']
らが	['名詞', '助詞']
とされ	['助詞', '動詞', '動詞']
次の	['名詞', '助詞']
の中心	['助詞', '名詞']
を取り	['助詞', '動詞']
を果たした	['助詞', '動詞', '助動詞']
に就任	['助詞', '名詞']
名の	['名詞', '助詞']
フランスの	['名詞', '助詞']
の結果	['助詞', '名詞']
を用いて	['助詞', '動詞', '助詞']
名が	['名詞', '助詞']
彼らは	['名詞', '助詞']
の中	['助詞', '名詞']
の歴史	['助詞', '名詞']
時代に	['名詞', '助詞']
を有する	['助詞', '動詞']
からなる	['助詞', '動詞']
ドイツの	['名詞', '助詞']
月より	['名詞', '助詞']
をする	['助詞', '動詞']
を始め	['助詞', '名詞']
初期の	['名詞', '助詞']
と対戦し	['助詞', '名詞', '動詞']
ことも	['名詞', '助詞']
の中に	['助詞', '名詞', '助詞']
に加え	['助詞', '動詞']
の存在	['助詞', '名詞']
を参照	['助詞', '名詞']
をはじめ	['助詞', '名詞']
年からは	['名詞', '助詞', '助詞']
それまで	['名詞', '助詞']
ようになる	['名詞', '助詞', '動詞']
派の	['名詞', '助詞']
彼女は	['名詞', '助詞']
日より	['名詞', '助詞']
大学の	['名詞', '助詞']
川の	['名詞', '助詞']
の影響	['助詞', '名詞']
製の	['名詞', '助詞']
の際に	['助詞', '名詞', '助詞']
その他の	['名詞', '助詞']
に入った	['助詞', '動詞', '助動詞']
の下	['助詞', '名詞']
のまま	['助詞', '名詞']
本の	['名詞', '助詞']
他に	['名詞', '助詞']
式の	['名詞', '助詞']
名を	['名詞', '助詞']
ここで	['名詞', '助詞']
と呼ばれ	['助詞', '動詞', '動詞']
それが	['名詞', '助詞']
通常の	['名詞', '助詞']
を用いた	['助詞', '動詞', '助動詞']
に生まれる	['助詞', '動詞']
に由来する	['助詞', '名詞', '動詞']
現在も	['名詞', '助詞']
に参加	['助詞', '名詞']
位の	['名詞', '助詞']
時は	['名詞', '助詞']
の一	['助詞', '名詞']
後も	['名詞', '助詞']
ことにより	['名詞', '助詞']
を使って	['助詞', '動詞', '助詞']
ときに	['名詞', '助詞']
ものが	['名詞', '助詞']
の子	['助詞', '名詞']
が行われる	['助詞', '動詞', '動詞']
島の	['名詞', '助詞']
と考えられる	['助詞', '動詞', '動詞']
度の	['名詞', '助詞']
正式に	['名詞', '助詞']
側に	['名詞', '助詞']
それぞれの	['名詞', '助詞']
の作品	['助詞', '名詞']
ていった	['助詞', '動詞', '助動詞']
ようになり	['名詞', '助詞', '動詞']
世紀の	['名詞', '助詞']
の息子	['助詞', '名詞']
のひとつ	['助詞', '名詞']
をした	['助詞', '動詞', '助動詞']
特定の	['名詞', '助詞']
自らの	['名詞', '助詞']
状の	['名詞', '助詞']
と述べている	['助詞', '動詞', '助詞', '動詞']
逆に	['名詞', '助詞']
地域の	['名詞', '助詞']
を除く	['助詞', '動詞']
をしている	['助詞', '動詞', '助詞', '動詞']
に登場する	['助詞', '名詞', '動詞']
に移籍	['助詞', '名詞']
に属する	['助詞', '動詞']
に参加した	['助詞', '名詞', '動詞', '助動詞']
地元の	['名詞', '助詞']
を超える	['助詞', '動詞']
これに	['名詞', '助詞']
州の	['名詞', '助詞']
スは	['名詞', '助詞']
場合には	['名詞', '助詞', '助詞']
を始めた	['助詞', '動詞', '助動詞']
場合もある	['名詞', '助詞', '動詞']
を得る	['助詞', '動詞']
たちが	['名詞', '助詞']
に至る	['助詞', '動詞']
監督の	['名詞', '助詞']
っており	['助詞', '名詞']
向けの	['名詞', '助詞']
自身が	['名詞', '助詞']
彼女の	['名詞', '助詞']
の下で	['助詞', '名詞', '助詞']
の場合は	['助詞', '名詞', '助詞']
に就任した	['助詞', '名詞', '動詞', '助動詞']
たちの	['名詞', '助詞']
社の	['名詞', '助詞']
の間で	['助詞', '名詞', '助詞']
に位置し	['助詞', '名詞', '動詞']
と呼ばれた	['助詞', '動詞', '動詞', '助動詞']
の一人	['助詞', '名詞', '名詞']
を描いた	['助詞', '動詞', '助動詞']
らの	['名詞', '助詞']
の世界	['助詞', '名詞']
間に	['名詞', '助詞']
を発表した	['助詞', '名詞', '動詞', '助動詞']
の使用	['助詞', '名詞']
を発表	['助詞', '名詞']
父の	['名詞', '助詞']
彼が	['名詞', '助詞']
を記録した	['助詞', '名詞', '動詞', '助動詞']
戦では	['名詞', '助詞', '助詞']
以下の	['名詞', '助詞']
を行っていた	['助詞', '動詞', '助詞', '動詞', '助動詞']
同様に	['名詞', '助詞']
を得て	['助詞', '動詞', '助詞']
子は	['名詞', '助詞']
人を	['名詞', '助詞']
人に	['名詞', '助詞']
をしていた	['助詞', '動詞', '助詞', '動詞', '助動詞']
最初に	['名詞', '助詞']
を求める	['助詞', '動詞']
の手	['助詞', '名詞']
も多く	['助詞', '名詞']
機の	['名詞', '助詞']
を目指す	['助詞', '動詞']
の建設	['助詞', '名詞']
が見られる	['助詞', '動詞', '動詞']
年代の	['名詞', '助詞']
を果たす	['助詞', '動詞']
が行われている	['助詞', '動詞', '動詞', '助詞', '動詞']
と思われる	['助詞', '動詞', '動詞']
ものを	['名詞', '助詞']
に変更	['助詞', '名詞']
の名前	['助詞', '名詞']
を作る	['助詞', '動詞']
に基づく	['助詞', '動詞']
形の	['名詞', '助詞']
てしまった	['助詞', '動詞', '助動詞']
以前は	['名詞', '助詞']
を持った	['助詞', '動詞', '助動詞']
のもと	['助詞', '名詞']
んでいる	['助詞', '動詞']
を持っている	['助詞', '動詞', '助詞', '動詞']
ものと	['名詞', '助詞']
らは	['名詞', '助詞']
状態で	['名詞', '助詞']
これらは	['名詞', '助詞']
個の	['名詞', '助詞']
性の	['名詞', '助詞']
といわれる	['助詞', '動詞', '動詞']
側は	['名詞', '助詞']
をもつ	['助詞', '動詞']
完全に	['名詞', '助詞']
政府は	['名詞', '助詞']
彼らの	['名詞', '助詞']
中国の	['名詞', '助詞']
を引き	['助詞', '動詞']
を使用する	['助詞', '名詞', '動詞']
を中心とした	['助詞', '名詞', '助詞', '動詞', '助動詞']
を担当した	['助詞', '名詞', '動詞', '助動詞']
こともあった	['名詞', '助詞', '動詞', '助動詞']
大学で	['名詞', '助詞']
以前の	['名詞', '助詞']
が必要	['助詞', '名詞']
先に	['名詞', '助詞']
に向けて	['助詞', '動詞', '助詞']
を表す	['助詞', '動詞']
は主に	['助詞', '名詞', '助詞']
の名称	['助詞', '名詞']
の元	['助詞', '名詞']
期の	['名詞', '助詞']
こととなった	['名詞', '助詞', '動詞', '助動詞']
を開始	['助詞', '名詞']
になっていた	['助詞', '動詞', '助詞', '動詞', '助動詞']
時点で	['名詞', '助詞']
に当たる	['助詞', '動詞']
の他	['助詞', '名詞']
代わりに	['名詞', '助詞']
これまで	['名詞', '助詞']
を最後に	['助詞', '名詞', '助詞']
年の第	['名詞', '助詞', '接頭詞']
ための	['名詞', '助詞']
人で	['名詞', '助詞']
も存在する	['助詞', '名詞', '動詞']
の戦いで	['助詞', '名詞', '助詞']
以降の	['名詞', '助詞']
に選ばれた	['助詞', '動詞', '動詞', '助動詞']
に貢献した	['助詞', '名詞', '動詞', '助動詞']
人と	['名詞', '助詞']
のに対し	['名詞', '助詞']
種類の	['名詞', '助詞']
他にも	['名詞', '助詞', '助詞']
と言われている	['助詞', '動詞', '動詞', '助詞', '動詞']
場合がある	['名詞', '助詞', '動詞']
のことである	['助詞', '名詞', '助動詞', '助動詞']
を用いる	['助詞', '動詞']
程度の	['名詞', '助詞']
力を	['名詞', '助詞']
日に行われた	['名詞', '助詞', '動詞', '動詞', '助動詞']
試合で	['名詞', '助詞']
全体の	['名詞', '助詞']
の一つである	['助詞', '名詞', '助動詞', '助動詞']
の多くは	['助詞', '名詞', '助詞']
を始める	['助詞', '動詞']
を使った	['助詞', '動詞', '助動詞']
の意味	['助詞', '名詞']
歳の	['名詞', '助詞']
目の	['名詞', '助詞']
地に	['名詞', '助詞']
に相当する	['助詞', '名詞', '動詞']
の仕事	['助詞', '名詞']
ということ	['助詞', '名詞']
周辺の	['名詞', '助詞']
現在でも	['名詞', '助詞', '助詞']
賞を受賞	['名詞', '助詞', '名詞']
に伴う	['助詞', '動詞']
世が	['名詞', '助詞']
家は	['名詞', '助詞']
必要がある	['名詞', '助詞', '動詞']
にいた	['助詞', '動詞', '助動詞']
的には	['名詞', '助詞', '助詞']
作品の	['名詞', '助詞']
と語っている	['助詞', '動詞', '助詞', '動詞']
年代から	['名詞', '助詞']
山の	['名詞', '助詞']
と言われる	['助詞', '動詞', '動詞']
に基づき	['助詞', '動詞']
の中には	['助詞', '名詞', '助詞', '助詞']
人間の	['名詞', '助詞']
世界の	['名詞', '助詞']
色の	['名詞', '助詞']
軍が	['名詞', '助詞']
が始まった	['助詞', '動詞', '助動詞']
同様の	['名詞', '助詞']
を設立	['助詞', '名詞']
を見て	['助詞', '動詞', '助詞']
のこと	['助詞', '名詞']
子が	['名詞', '助詞']
頃から	['名詞', '助詞']
アメリカ合衆国の	['名詞', '助詞']
それらの	['名詞', '助詞']
の乱	['助詞', '名詞']
賞を受賞した	['名詞', '助詞', '名詞', '動詞', '助動詞']
を見せ	['助詞', '動詞']
回の	['名詞', '助詞']
に出場	['助詞', '名詞']
氏は	['名詞', '助詞']
の中でも	['助詞', '名詞', '助詞', '助詞']
地方の	['名詞', '助詞']
を持っていた	['助詞', '動詞', '助詞', '動詞', '助動詞']
の対象	['助詞', '名詞']
を作り	['助詞', '動詞']
を持って	['助詞', '動詞', '助詞']
下の	['名詞', '助詞']
の死後	['助詞', '名詞']
用に	['名詞', '助詞']
は非常に	['助詞', '名詞', '助詞']
上記の	['名詞', '助詞']
の父	['助詞', '名詞']
を使う	['助詞', '動詞']
日本で	['名詞', '助詞']
駅から	['名詞', '助詞']
んでいた	['名詞', '助詞', '動詞', '助動詞']
父は	['名詞', '助詞']
一連の	['名詞', '助詞']
として知られる	['助詞', '動詞', '動詞']
があるが	['助詞', '動詞', '助詞']
に加えて	['助詞', '動詞', '助詞']
世紀に	['名詞', '助詞']
に生まれた	['助詞', '動詞', '助動詞']
に終わった	['助詞', '動詞', '助動詞']
歳の時に	['名詞', '助詞', '名詞', '助詞']
に出演	['助詞', '名詞']
に応じて	['助詞', '動詞', '助詞']
となったが	['助詞', '動詞', '助動詞', '助詞']
に参加し	['助詞', '名詞', '動詞']
を獲得した	['助詞', '名詞', '動詞', '助動詞']
に基づいて	['助詞', '動詞', '助詞']
に入社	['助詞', '名詞']
そこに	['名詞', '助詞']
一定の	['名詞', '助詞']
に入団	['助詞', '名詞']
の方が	['助詞', '名詞', '助詞']
に次ぐ	['助詞', '動詞']
を務めていた	['助詞', '動詞', '助詞', '動詞', '助動詞']
の際	['助詞', '名詞']
を利用して	['助詞', '名詞', '動詞', '助詞']
時代は	['名詞', '助詞']
の死	['助詞', '名詞']
村の	['名詞', '助詞']
日付で	['名詞', '助詞']
に加入	['助詞', '名詞']
を使用した	['助詞', '名詞', '動詞', '助動詞']
に向かって	['助詞', '動詞', '助詞']
に合わせて	['助詞', '動詞', '助詞']
時から	['名詞', '助詞']
数が	['名詞', '助詞']
に出	['助詞', '動詞']
に戻り	['助詞', '動詞']
時代には	['名詞', '助詞', '助詞']
の問題	['助詞', '名詞']
前述の	['名詞', '助詞']
が可能	['助詞', '名詞']
が異なる	['助詞', '動詞']
の上	['助詞', '名詞']
の地位	['助詞', '名詞']
らと	['名詞', '助詞']
版の	['名詞', '助詞']
直後に	['名詞', '助詞']
を描く	['助詞', '動詞']
ものもある	['名詞', '助詞', '動詞']
ているが	['助詞', '動詞', '助詞']
部に	['名詞', '助詞']
を与える	['助詞', '動詞']
の姿	['助詞', '名詞']
最後に	['名詞', '助詞']
内容は	['名詞', '助詞']
に向かう	['助詞', '動詞']
を出した	['助詞', '動詞', '助動詞']
作品は	['名詞', '助詞']
に変更された	['助詞', '名詞', '動詞', '動詞', '助動詞']
際には	['名詞', '助詞', '助詞']
と述べた	['助詞', '動詞', '助動詞']
の上に	['助詞', '名詞', '助詞']
の記録	['助詞', '名詞']
政府の	['名詞', '助詞']
があったが	['助詞', '動詞', '助動詞', '助詞']
をはじめとする	['助詞', '名詞', '助詞', '動詞']
は全て	['助詞', '名詞']
の中から	['助詞', '名詞', '助詞']
に選出された	['助詞', '名詞', '動詞', '動詞', '助動詞']
年代には	['名詞', '助詞', '助詞']
郡の	['名詞', '助詞']
線が	['名詞', '助詞']
同社の	['名詞', '助詞']
を担当	['助詞', '名詞']
に移り	['助詞', '動詞']
頃に	['名詞', '助詞']
に至った	['助詞', '動詞', '助動詞']
へ移籍	['助詞', '名詞']
の設計	['助詞', '名詞']
近くの	['名詞', '助詞']
事を	['名詞', '助詞']
体の	['名詞', '助詞']
そこから	['名詞', '助詞']
作品を	['名詞', '助詞']
もあって	['助詞', '動詞', '助詞']
を失った	['助詞', '動詞', '助動詞']
の生産	['助詞', '名詞']
先の	['名詞', '助詞']
一つの	['名詞', '助詞']
ていなかった	['助詞', '動詞', '助動詞', '助動詞']
会社の	['名詞', '助詞']
の中では	['助詞', '名詞', '助詞', '助詞']
に比べて	['助詞', '動詞', '助詞']
に戻った	['助詞', '動詞', '助動詞']
当初の	['名詞', '助詞']
活動を	['名詞', '助詞']
その後の	['名詞', '助詞']
がいた	['助詞', '動詞', '助動詞']
部は	['名詞', '助詞']
種の	['名詞', '助詞']
を認め	['助詞', '動詞']
目に	['名詞', '助詞']
地区の	['名詞', '助詞']
の一環として	['助詞', '名詞', '助詞']
を代表する	['助詞', '名詞', '動詞']
時代から	['名詞', '助詞']
イタリアの	['名詞', '助詞']
の妻	['助詞', '名詞']
に従って	['助詞', '動詞', '助詞']
明らかに	['名詞', '助詞']
と呼ばれている	['助詞', '動詞', '動詞', '助詞', '動詞']
詳細は	['名詞', '助詞']
の影響で	['助詞', '名詞', '助詞']
の違い	['助詞', '名詞']
の調査	['助詞', '名詞']
弟の	['名詞', '助詞']
を元に	['助詞', '名詞', '助詞']
自分が	['名詞', '助詞']
の原因	['助詞', '名詞']
の時代	['助詞', '名詞']
自身も	['名詞', '助詞']
私は	['名詞', '助詞']
車の	['名詞', '助詞']
に沿って	['助詞', '動詞', '助詞']
の他に	['助詞', '名詞', '助詞']
間で	['名詞', '助詞']
方向に	['名詞', '助詞']
にした	['助詞', '動詞', '助動詞']
の意	['助詞', '名詞']
の発展	['助詞', '名詞']
位となった	['名詞', '助詞', '動詞', '助動詞']
以前に	['名詞', '助詞']
ていて	['助詞', '動詞', '助詞']
の位置	['助詞', '名詞']
を結成	['助詞', '名詞']
の変化	['助詞', '名詞']
の家	['助詞', '名詞']
急速に	['名詞', '助詞']
風の	['名詞', '助詞']
自身は	['名詞', '助詞']
二つの	['名詞', '助詞']
を示した	['助詞', '動詞', '助動詞']
の一種	['助詞', '名詞']
に取り	['助詞', '動詞']
を出す	['助詞', '動詞']
の新	['助詞', '名詞']
を除き	['助詞', '動詞']
の製造	['助詞', '名詞']
の前に	['助詞', '名詞', '助詞']
に伴って	['助詞', '動詞', '助詞']
決勝で	['名詞', '助詞']
位で	['名詞', '助詞']
を与えた	['助詞', '動詞', '助動詞']
大会で	['名詞', '助詞']
の関係	['助詞', '名詞']
市内の	['名詞', '助詞']
それまでの	['名詞', '助詞', '助詞']
選手として	['名詞', '助詞']
ようと	['名詞', '助詞']
を迎え	['助詞', '動詞']
ことによって	['名詞', '助詞']
過去の	['名詞', '助詞']
を与え	['助詞', '動詞']
いくつか	['名詞', '助詞']
部分は	['名詞', '助詞']
鉄道の	['名詞', '助詞']
年までに	['名詞', '助詞', '助詞']
途中で	['名詞', '助詞']
を取る	['助詞', '動詞']
が出	['助詞', '動詞']
家に	['名詞', '助詞']
向けに	['名詞', '助詞']
者として	['名詞', '助詞']
に渡り	['助詞', '動詞']
ロシアの	['名詞', '助詞']
っていない	['助詞', '動詞', '助動詞']
を行うこと	['助詞', '動詞', '名詞']
年間の	['名詞', '助詞']
専用の	['名詞', '助詞']
状に	['名詞', '助詞']
に際して	['助詞', '動詞', '助詞']
を獲得	['助詞', '名詞']
に戻る	['助詞', '動詞']
事が	['名詞', '助詞']
の特徴	['助詞', '名詞']
を除いて	['助詞', '動詞', '助詞']
ズの	['名詞', '助詞']
を担当する	['助詞', '名詞', '動詞']
ものとして	['名詞', '助詞']
を利用した	['助詞', '名詞', '動詞', '助動詞']
軍を	['名詞', '助詞']
という意味	['助詞', '名詞']
を求め	['助詞', '動詞']
独特の	['名詞', '助詞']
自体は	['名詞', '助詞']
を利用する	['助詞', '名詞', '動詞']
に住む	['助詞', '動詞']
以外に	['名詞', '助詞']
を開始し	['助詞', '名詞', '動詞']
を含め	['助詞', '動詞']
天皇の	['名詞', '助詞']
を迎えた	['助詞', '動詞', '助動詞']
分に	['名詞', '助詞']
を挙げた	['助詞', '動詞', '助動詞']
族の	['名詞', '助詞']
ここに	['名詞', '助詞']
の舞台	['助詞', '名詞']
の販売	['助詞', '名詞']
の神	['助詞', '名詞']
朝の	['名詞', '助詞']
期に	['名詞', '助詞']
の音楽	['助詞', '名詞']
中には	['名詞', '助詞', '助詞']
現代の	['名詞', '助詞']
近年では	['名詞', '助詞', '助詞']
下で	['名詞', '助詞']
本来の	['名詞', '助詞']
を打ち	['助詞', '動詞']
と呼ばれていた	['助詞', '動詞', '動詞', '助詞', '動詞', '助動詞']
に乗り	['助詞', '動詞']
の弟	['助詞', '名詞']
下に	['名詞', '助詞']
頻繁に	['名詞', '助詞']
の二	['助詞', '名詞']
を占める	['助詞', '動詞']
に含まれる	['助詞', '動詞', '動詞']
の小	['助詞', '名詞']
軍に	['名詞', '助詞']
の女性	['助詞', '名詞']
は当初	['助詞', '名詞']
に移籍した	['助詞', '名詞', '動詞', '助動詞']
駅の	['名詞', '助詞']
の声	['助詞', '名詞']
わけではない	['名詞', '助詞', '助詞', '形容詞']
者に	['名詞', '助詞']
城の	['名詞', '助詞']
所属の	['名詞', '助詞']
試合に出場し	['名詞', '助詞', '名詞', '動詞']
になっており	['助詞', '動詞', '助詞', '動詞']
を学ぶ	['助詞', '動詞']
率は	['名詞', '助詞']
が始まり	['助詞', '動詞']
といえる	['助詞', '動詞']
たこと	['名詞', '助詞']
ができる	['助詞', '動詞']
の末	['助詞', '名詞']
事件の	['名詞', '助詞']
を機に	['助詞', '名詞', '助詞']
線と	['名詞', '助詞']
を提供する	['助詞', '名詞', '動詞']
かもしれない	['助詞', '動詞', '助動詞']
方が	['名詞', '助詞']
面で	['名詞', '助詞']
既存の	['名詞', '助詞']
性を	['名詞', '助詞']
をとる	['助詞', '動詞']
代の	['名詞', '助詞']
を続けた	['助詞', '動詞', '助動詞']
場所に	['名詞', '助詞']
に所属	['助詞', '名詞']
国内の	['名詞', '助詞']
を起こす	['助詞', '動詞']
タイプの	['名詞', '助詞']
を採用した	['助詞', '名詞', '動詞', '助動詞']
番組の	['名詞', '助詞']
はすべて	['助詞', '名詞']
翌年の	['名詞', '助詞']
何か	['名詞', '助詞']
の下に	['助詞', '名詞', '助詞']
物を	['名詞', '助詞']
会の	['名詞', '助詞']
の森	['助詞', '名詞']
の活動	['助詞', '名詞']
に入ると	['助詞', '動詞', '助詞']
に参戦	['助詞', '名詞']
の指導	['助詞', '名詞']
に勤務	['助詞', '名詞']
情報を	['名詞', '助詞']
の利用	['助詞', '名詞']
に参加する	['助詞', '名詞', '動詞']
名義で	['名詞', '助詞']
法の	['名詞', '助詞']
以外にも	['名詞', '助詞', '助詞']
で行われる	['助詞', '動詞', '動詞']
を続け	['助詞', '動詞']
を見た	['助詞', '動詞', '助動詞']
ンは	['名詞', '助詞']
近年は	['名詞', '助詞']
年までは	['名詞', '助詞', '助詞']
元の	['名詞', '助詞']
を加えた	['助詞', '動詞', '助動詞']
を決めた	['助詞', '動詞', '助動詞']
付近に	['名詞', '助詞']
を見る	['助詞', '動詞']
に存在する	['助詞', '名詞', '動詞']
に成功した	['助詞', '名詞', '動詞', '助動詞']
通常は	['名詞', '助詞']
県の	['名詞', '助詞']
の内容	['助詞', '名詞']
の前	['助詞', '名詞']
といい	['助詞', '動詞']
に対応	['助詞', '名詞']
という言葉	['助詞', '名詞']
に行く	['助詞', '動詞']
を卒業	['助詞', '名詞']
寺の	['名詞', '助詞']
を設立し	['助詞', '名詞', '動詞']
の数	['助詞', '名詞']
